17,350,1,4.000
17,379,2,3.000
17,382,3,3.000
17,459,4,5.000
17,918,4,4.000
17,327,5,4.000
17,196,6,5.000
17,601,6,3.000
17,339,7,4.000
17,646,8,3.000
17,310,9,4.000
17,349,10,4.000
17,504,11,4.000
17,290,12,5.000
17,735,13,4.000
17,853,14,3.000
17,524,15,4.000
17,507,16,4.000
17,94,17,4.000
17,195,18,4.000
17,855,19,3.000
17,25,20,3.000
17,124,23,2.000
17,65,25,2.000
17,265,26,5.000
57,804,27,4.000
17,520,28,4.000
17,692,29,5.000
17,206,29,4.000
17,271,31,5.000
17,611,32,4.000
17,438,32,3.000
17,229,33,5.000
57,138,34,5.000
57,44,36,3.000
17,589,38,4.000
17,814,39,4.000
17,121,40,3.000
17,699,41,4.000
17,482,42,5.000
17,443,43,3.000
17,595,44,3.000
17,411,45,3.000
17,583,47,4.000
17,634,48,4.000
17,292,50,4.000
17,433,51,4.000
17,746,52,2.000
17,483,53,1.000
17,802,55,4.000
17,419,57,3.000
57,767,58,4.000
57,779,59,3.000
17,618,60,3.000
17,481,61,4.000
17,450,62,3.000
17,103,63,2.000
17,328,64,3.000
17,765,64,4.000
17,756,66,4.000
17,444,68,4.000
17,439,68,2.000
17,629,73,2.000
17,293,74,4.000
17,187,75,5.000
17,850,76,4.000
17,826,77,4.000
17,286,77,3.000
17,319,78,4.000
17,278,79,4.000
17,235,80,4.000
17,672,81,2.000
17,860,82,3.000
17,448,82,2.000
17,232,83,4.000
17,269,83,4.000
17,615,86,2.000
17,815,87,3.000
17,963,88,4.000
17,470,89,4.000
17,678,90,3.000
17,642,90,4.000
17,185,91,3.000
57,148,95,2.000
17,791,96,4.000
17,706,99,5.000
17,40,100,3.000
17,813,101,2.000
17,218,103,4.000
17,257,104,4.000
17,683,106,3.000
21,381,107,1.000
21,290,108,4.000
21,302,112,4.000
21,504,114,5.000
21,130,115,2.000
21,142,116,4.000
21,196,117,5.000
21,340,119,4.000
21,806,120,4.000
21,853,122,3.000
21,967,123,1.000
21,346,124,4.000
21,803,125,2.000
21,969,126,2.000
21,41,127,2.000
21,463,128,4.000
21,735,129,5.000
21,51,130,4.000
21,421,131,3.000
21,260,132,2.000
21,748,133,5.000
21,786,133,5.000
21,2,133,5.000
21,123,134,5.000
21,287,135,4.000
21,82,136,4.000
21,366,136,4.000
21,811,137,4.000
21,620,137,4.000
21,826,137,5.000
21,587,138,5.000
21,387,139,4.000
21,411,140,4.000
21,804,141,3.000
21,628,142,4.000
21,284,143,3.000
21,219,144,5.000
21,187,145,5.000
21,902,146,3.000
21,622,147,4.000
21,736,148,5.000
21,630,149,4.000
21,605,150,4.000
21,442,151,1.000
17,149,152,3.000
17,530,154,5.000
55,526,155,1.000
21,250,156,4.000
21,611,157,4.000
21,619,160,2.000
21,222,161,2.000
21,531,162,5.000
21,778,163,4.000
21,265,164,4.000
21,226,165,5.000
21,480,166,4.000
21,266,167,4.000
21,708,168,4.000
21,683,169,5.000
21,417,170,3.000
21,198,171,4.000
21,291,171,5.000
21,419,172,4.000
55,566,173,5.000
55,757,174,5.000
55,250,175,4.000
55,714,176,3.000
55,513,176,3.000
55,948,177,5.000
55,262,177,4.000
